,Route,Trip_Type,value
305377,W 21 St & 6 Ave > 9 Ave & W 22 St,Point-to-Point,297
248476,Old Slip & South St > South St & Gouverneur Ln,Point-to-Point,259
2890,1 Ave & E 62 St > 1 Ave & E 68 St,Point-to-Point,250
247256,North Moore St & Greenwich St > Vesey St & Church St,Point-to-Point,236
305753,W 21 St & 6 Ave > W 22 St & 10 Ave,Point-to-Point,234
351717,Yankee Ferry Terminal > Soissons Landing,Point-to-Point,222
272578,Soissons Landing > Yankee Ferry Terminal,Point-to-Point,219
200631,Henry St & Grand St > Norfolk St & Broome St,Point-to-Point,218
246555,Norfolk St & Broome St > Henry St & Grand St,Point-to-Point,214
96171,Central Park S & 6 Ave > 5 Ave & E 87 St,Point-to-Point,213
344465,West St & Chambers St > Pier 40 - Hudson River Park,Point-to-Point,212
306352,W 22 St & 10 Ave > W 22 St & 8 Ave,Point-to-Point,211
243954,N 6 St & Bedford Ave > S 4 St & Wythe Ave,Point-to-Point,208
239789,Motorgate > Roosevelt Island Tramway,Point-to-Point,207
162624,E 72 St & York Ave > 2 Ave & E 72 St,Point-to-Point,206
253637,Pier 40 - Hudson River Park > West St & Chambers St,Point-to-Point,204
