,Route,Trip_Type,value
96233,Central Park S & 6 Ave > Central Park S & 6 Ave,Round-Trip,754
45078,7 Ave & Central Park South > 7 Ave & Central Park South,Round-Trip,530
188234,Grand Army Plaza & Central Park S > Grand Army Plaza & Central Park S,Round-Trip,466
266323,Roosevelt Island Tramway > Roosevelt Island Tramway,Round-Trip,441
83687,Broadway & W 58 St > Broadway & W 58 St,Round-Trip,423
344632,West St & Chambers St > West St & Chambers St,Round-Trip,419
81691,Broadway & W 41 St > Broadway & W 41 St,Round-Trip,393
36288,5 Ave & E 72 St > 5 Ave & E 72 St,Round-Trip,387
272574,Soissons Landing > Soissons Landing,Round-Trip,366
8748,12 Ave & W 40 St > 12 Ave & W 40 St,Round-Trip,361
98183,Central Park West & W 72 St > Central Park West & W 72 St,Round-Trip,336
97738,Central Park West & W 68 St > Central Park West & W 68 St,Round-Trip,307
268586,S 5 Pl & S 5 St > S 5 Pl & S 5 St,Round-Trip,298
351721,Yankee Ferry Terminal > Yankee Ferry Terminal,Round-Trip,296
95842,Central Park North & Adam Clayton Powell Blvd > Central Park North & Adam Clayton Powell Blvd,Round-Trip,288
342789,West Drive & Prospect Park West > West Drive & Prospect Park West,Round-Trip,274
7402,11 Ave & W 41 St > 11 Ave & W 41 St,Round-Trip,261
37089,5 Ave & E 87 St > 5 Ave & E 87 St,Round-Trip,261
345130,West St & Liberty St > West St & Liberty St,Round-Trip,253
99366,Centre St & Chambers St > Centre St & Chambers St,Round-Trip,251
192393,Grant Ave & E 169 St > Grant Ave & E 169 St,Round-Trip,248
3410,1 Ave & E 68 St > 1 Ave & E 68 St,Round-Trip,242
175700,Flatbush Ave & Ocean Ave > Flatbush Ave & Ocean Ave,Round-Trip,228
305752,W 21 St & 6 Ave > W 21 St & 6 Ave,Round-Trip,220
36715,5 Ave & E 78 St > 5 Ave & E 78 St,Round-Trip,215
79488,Broadway & W 25 St > Broadway & W 25 St,Round-Trip,214
5151,10 Ave & W 14 St > 10 Ave & W 14 St,Round-Trip,213
309941,W 30 St & 10 Ave > W 30 St & 10 Ave,Round-Trip,210
102923,Cleveland Pl & Spring St > Cleveland Pl & Spring St,Round-Trip,209
325526,W 54 St & 11 Ave > W 54 St & 11 Ave,Round-Trip,208
142797,E 33 St & 1 Ave > E 33 St & 1 Ave,Round-Trip,207
41743,6 Ave & W 33 St > 6 Ave & W 33 St,Round-Trip,203
343547,West End Ave & W 60 St > West End Ave & W 60 St,Round-Trip,201
107967,Columbus Ave & W 72 St > Columbus Ave & W 72 St,Round-Trip,200
